Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000160213	CSTB	"Cystatin B"	P04080	"Evidence at protein level"
ENSG00000060069	CTDP1	"CTD phosphatase subunit 1"	Q9Y5B0	"Evidence at protein level"
ENSG00000116761	CTH	"Cystathionine gamma-lyase"	P32929	"Evidence at protein level"
ENSG00000040531	CTNS	"Cystinosin, lysosomal cystine transporter"	O60931	"Evidence at protein level"
ENSG00000171793	CTPS1	"CTP synthase 1"	P17812	"Evidence at protein level"
ENSG00000162438	CTRC	"Chymotrypsin C"	Q99895	"Evidence at protein level"
ENSG00000064601	CTSA	"Cathepsin A"	P10619	"Evidence at protein level"
ENSG00000109861	CTSC	"Cathepsin C"	P53634	"Evidence at protein level"
ENSG00000117984	CTSD	"Cathepsin D"	P07339	"Evidence at protein level"
ENSG00000174080	CTSF	"Cathepsin F"	Q9UBX1	"Evidence at protein level"
ENSG00000143387	CTSK	"Cathepsin K"	P43235	"Evidence at protein level"
ENSG00000153015	CWC27	"CWC27 spliceosome associated protein homolog"	Q6UX04	"Evidence at protein level"
ENSG00000168329	CX3CR1	"C-X3-C motif chemokine receptor 1"	P49238	"Evidence at protein level"
ENSG00000100243	CYB5R3	"Cytochrome b5 reductase 3"	P00387	"Evidence at protein level"
ENSG00000051523	CYBA	"Cytochrome b-245 alpha chain"	P13498	"Evidence at protein level"
ENSG00000165168	CYBB	"Cytochrome b-245 beta chain"	P04839	"Evidence at protein level"
ENSG00000083799	CYLD	"CYLD lysine 63 deubiquitinase"	Q9NQC7	"Evidence at protein level"
ENSG00000179142	CYP11B2	"Cytochrome P450 family 11 subfamily B member 2"	P19099	"Evidence at protein level"
ENSG00000138061	CYP1B1	"Cytochrome P450 family 1 subfamily B member 1"	Q16678	"Evidence at protein level"
ENSG00000231852	CYP21A2	"Cytochrome P450 family 21 subfamily A member 2"	P08686	"Evidence at protein level"
ENSG00000019186	CYP24A1	"Cytochrome P450 family 24 subfamily A member 1"	Q07973	"Evidence at protein level"
ENSG00000135929	CYP27A1	"Cytochrome P450 family 27 subfamily A member 1"	Q02318	"Evidence at protein level"
ENSG00000111012	CYP27B1	"Cytochrome P450 family 27 subfamily B member 1"	O15528	"Evidence at protein level"
ENSG00000186104	CYP2R1	"Cytochrome P450 family 2 subfamily R member 1"	Q6VVX0	"Evidence at protein level"
ENSG00000155016	CYP2U1	"Cytochrome P450 family 2 subfamily U member 1"	Q7Z449	"Evidence at protein level"
ENSG00000186115	CYP4F2	"Cytochrome P450 family 4 subfamily F member 2"	P78329	"Evidence at protein level"
ENSG00000145476	CYP4V2	"Cytochrome P450 family 4 subfamily V member 2"	Q6ZWL3	"Evidence at protein level"
ENSG00000172817	CYP7B1	"Cytochrome P450 family 7 subfamily B member 1"	O75881	"Evidence at protein level"
ENSG00000173402	DAG1	"Dystroglycan 1"	Q14118	"Evidence at protein level"
ENSG00000110887	DAO	"D-amino acid oxidase"	P14920	"Evidence at protein level"
ENSG00000115866	DARS	"Aspartyl-tRNA synthetase"	P14868	"Evidence at protein level"
ENSG00000117593	DARS2	"Aspartyl-tRNA synthetase 2, mitochondrial"	Q6PI48	"Evidence at protein level"
ENSG00000137992	DBT	"Dihydrolipoamide branched chain transacylase E2"	P11182	"Evidence at protein level"
ENSG00000110063	DCPS	"Decapping enzyme, scavenger"	Q96C86	"Evidence at protein level"
ENSG00000169738	DCXR	"Dicarbonyl and L-xylulose reductase"	Q7Z4W1	"Evidence at protein level"
ENSG00000013573	DDX11	"DEAD/H-box helicase 11"	Q96FC9	"Evidence at protein level"
ENSG00000215301	DDX3X	"DEAD-box helicase 3, X-linked"	O00571	"Evidence at protein level"
ENSG00000067048	DDX3Y	"DEAD-box helicase 3, Y-linked"	O15523	"Evidence at protein level"
ENSG00000183258	DDX41	"DEAD-box helicase 41"	Q9UJV9	"Evidence at protein level"
ENSG00000107201	DDX58	"DExD/H-box helicase 58"	O95786	"Evidence at protein level"
ENSG00000118197	DDX59	"DEAD-box helicase 59"	Q5T1V6	"Evidence at protein level"
ENSG00000110367	DDX6	"DEAD-box helicase 6"	P26196	"Evidence at protein level"
ENSG00000104325	DECR1	"2,4-dienoyl-CoA reductase 1"	Q16698	"Evidence at protein level"
ENSG00000185000	DGAT1	"Diacylglycerol O-acyltransferase 1"	O75907	"Evidence at protein level"
ENSG00000153933	DGKE	"Diacylglycerol kinase epsilon"	P52429	"Evidence at protein level"
ENSG00000114956	DGUOK	"Deoxyguanosine kinase"	Q16854	"Evidence at protein level"
ENSG00000116133	DHCR24	"24-dehydrocholesterol reductase"	Q15392	"Evidence at protein level"
ENSG00000172893	DHCR7	"7-dehydrocholesterol reductase"	Q9UBM7	"Evidence at protein level"
ENSG00000117682	DHDDS	"Dehydrodolichyl diphosphate synthase subunit"	Q86SQ9	"Evidence at protein level"
ENSG00000181192	DHTKD1	"Dehydrogenase E1 and transketolase domain containing 1"	Q96HY7	"Evidence at protein level"
ENSG00000100697	DICER1	"Dicer 1, ribonuclease III"	Q9UPY3	"Evidence at protein level"
ENSG00000138463	DIRC2	"Disrupted in renal carcinoma 2"	Q96SL1	"Evidence at protein level"
ENSG00000150768	DLAT	"Dihydrolipoamide S-acetyltransferase"	P10515	"Evidence at protein level"
ENSG00000091140	DLD	"Dihydrolipoamide dehydrogenase"	P09622	"Evidence at protein level"
ENSG00000198947	DMD	Dystrophin	P11532	"Evidence at protein level"
ENSG00000132837	DMGDH	"Dimethylglycine dehydrogenase"	Q9UI17	"Evidence at protein level"
ENSG00000104936	DMPK	"DM1 protein kinase"	Q09013	"Evidence at protein level"
ENSG00000138346	DNA2	"DNA replication helicase/nuclease 2"	P51530	"Evidence at protein level"
ENSG00000116675	DNAJC6	"DnaJ heat shock protein family (Hsp40) member C6"	O75061	"Evidence at protein level"
ENSG00000213918	DNASE1	"Deoxyribonuclease 1"	P24855	"Evidence at protein level"
ENSG00000106976	DNM1	"Dynamin 1"	Q05193	"Evidence at protein level"
ENSG00000087470	DNM1L	"Dynamin 1 like"	O00429	"Evidence at protein level"
ENSG00000079805	DNM2	"Dynamin 2"	P50570	"Evidence at protein level"
ENSG00000119772	DNMT3A	"DNA methyltransferase 3 alpha"	Q9Y6K1	"Evidence at protein level"
ENSG00000088305	DNMT3B	"DNA methyltransferase 3 beta"	Q9UBC3	"Evidence at protein level"
ENSG00000175283	DOLK	"Dolichol kinase"	Q9UPQ8	"Evidence at protein level"
ENSG00000172269	DPAGT1	"Dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"	Q9H3H5	"Evidence at protein level"
ENSG00000108963	DPH1	"Diphthamide biosynthesis 1"	Q9BZG8	"Evidence at protein level"
ENSG00000000419	DPM1	"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	O60762	"Evidence at protein level"
ENSG00000175497	DPP10	"Dipeptidyl peptidase like 10"	Q8N608	"Evidence at protein level"
ENSG00000130226	DPP6	"Dipeptidyl peptidase like 6"	P42658	"Evidence at protein level"
ENSG00000147647	DPYS	Dihydropyrimidinase	Q14117	"Evidence at protein level"
ENSG00000111817	DSE	"Dermatan sulfate epimerase"	Q9UL01	"Evidence at protein level"
ENSG00000133059	DSTYK	"Dual serine/threonine and tyrosine protein kinase"	Q6XUX3	"Evidence at protein level"
ENSG00000140279	DUOX2	"Dual oxidase 2"	Q9NRD8	"Evidence at protein level"
ENSG00000139318	DUSP6	"Dual specificity phosphatase 6"	Q16828	"Evidence at protein level"
ENSG00000260596	DUX4	"Double homeobox 4"	Q9UBX2	"Evidence at protein level"
ENSG00000157540	DYRK1A	"Dual specificity tyrosine phosphorylation regulated kinase 1A"	Q13627	"Evidence at protein level"
ENSG00000105204	DYRK1B	"Dual specificity tyrosine phosphorylation regulated kinase 1B"	Q9Y463	"Evidence at protein level"
ENSG00000135636	DYSF	Dysferlin	O75923	"Evidence at protein level"
ENSG00000103356	EARS2	"Glutamyl-tRNA synthetase 2, mitochondrial"	Q5JPH6	"Evidence at protein level"
ENSG00000147155	EBP	"Emopamil binding protein (sterol isomerase)"	Q15125	"Evidence at protein level"
ENSG00000117298	ECE1	"Endothelin converting enzyme 1"	P42892	"Evidence at protein level"
ENSG00000171551	ECEL1	"Endothelin converting enzyme like 1"	O95672	"Evidence at protein level"
ENSG00000127884	ECHS1	"Enoyl-CoA hydratase, short chain 1"	P30084	"Evidence at protein level"
ENSG00000135766	EGLN1	"Egl-9 family hypoxia inducible factor 1"	Q9GZT9	"Evidence at protein level"
ENSG00000113790	EHHADH	"Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase"	Q08426	"Evidence at protein level"
ENSG00000181090	EHMT1	"Euchromatic histone lysine methyltransferase 1"	Q9H9B1	"Evidence at protein level"
ENSG00000149547	EI24	"EI24, autophagy associated transmembrane protein"	O14681	"Evidence at protein level"
ENSG00000172071	EIF2AK3	"Eukaryotic translation initiation factor 2 alpha kinase 3"	Q9NZJ5	"Evidence at protein level"
ENSG00000128829	EIF2AK4	"Eukaryotic translation initiation factor 2 alpha kinase 4"	Q9P2K8	"Evidence at protein level"
ENSG00000141543	EIF4A3	"Eukaryotic translation initiation factor 4A3"	P38919	"Evidence at protein level"
ENSG00000006744	ELAC2	"ElaC ribonuclease Z 2"	Q9BQ52	"Evidence at protein level"
ENSG00000118402	ELOVL4	"ELOVL fatty acid elongase 4"	Q9GZR5	"Evidence at protein level"
ENSG00000012660	ELOVL5	"ELOVL fatty acid elongase 5"	Q9NYP7	"Evidence at protein level"
ENSG00000127463	EMC1	"ER membrane protein complex subunit 1"	Q8N766	"Evidence at protein level"
ENSG00000108515	ENO3	"Enolase 3"	P13929	"Evidence at protein level"
ENSG00000197594	ENPP1	"Ectonucleotide pyrophosphatase/phosphodiesterase 1"	P22413	"Evidence at protein level"
ENSG00000138185	ENTPD1	"Ectonucleoside triphosphate diphosphohydrolase 1"	P49961	"Evidence at protein level"
ENSG00000163378	EOGT	"EGF domain specific O-linked N-acetylglucosamine transferase"	Q5NDL2	"Evidence at protein level"
ENSG00000100393	EP300	"E1A binding protein p300"	Q09472	"Evidence at protein level"
ENSG00000159023	EPB41	"Erythrocyte membrane protein band 4.1"	P11171	"Evidence at protein level"
ENSG00000044524	EPHA3	"EPH receptor A3"	P29320	"Evidence at protein level"
ENSG00000133216	EPHB2	"EPH receptor B2"	P29323	"Evidence at protein level"
ENSG00000196411	EPHB4	"EPH receptor B4"	P54760	"Evidence at protein level"
ENSG00000143819	EPHX1	"Epoxide hydrolase 1"	P07099	"Evidence at protein level"
ENSG00000112425	EPM2A	"EPM2A, laforin glucan phosphatase"	O95278	"Evidence at protein level"
ENSG00000121053	EPX	"Eosinophil peroxidase"	P11678	"Evidence at protein level"
ENSG00000065361	ERBB3	"Erb-b2 receptor tyrosine kinase 3"	P21860	"Evidence at protein level"
ENSG00000104884	ERCC2	"ERCC excision repair 2, TFIIH core complex helicase subunit"	P18074	"Evidence at protein level"
ENSG00000163161	ERCC3	"ERCC excision repair 3, TFIIH core complex helicase subunit"	P19447	"Evidence at protein level"
ENSG00000107566	ERLIN1	"ER lipid raft associated 1"	O75477	"Evidence at protein level"
ENSG00000147475	ERLIN2	"ER lipid raft associated 2"	O94905	"Evidence at protein level"
ENSG00000171503	ETFDH	"Electron transfer flavoprotein dehydrogenase"	Q16134	"Evidence at protein level"
ENSG00000105755	ETHE1	"ETHE1, persulfide dioxygenase"	O95571	"Evidence at protein level"
ENSG00000182197	EXT1	"Exostosin glycosyltransferase 1"	Q16394	"Evidence at protein level"
ENSG00000151348	EXT2	"Exostosin glycosyltransferase 2"	Q93063	"Evidence at protein level"
ENSG00000012232	EXTL3	"Exostosin like glycosyltransferase 3"	O43909	"Evidence at protein level"
ENSG00000104313	EYA1	"EYA transcriptional coactivator and phosphatase 1"	Q99502	"Evidence at protein level"
ENSG00000112319	EYA4	"EYA transcriptional coactivator and phosphatase 4"	O95677	"Evidence at protein level"
ENSG00000106462	EZH2	"Enhancer of zeste 2 polycomb repressive complex 2 subunit"	Q15910	"Evidence at protein level"
ENSG00000103876	FAH	"Fumarylacetoacetate hydrolase"	P16930	"Evidence at protein level"
ENSG00000177706	FAM20C	"FAM20C, golgi associated secretory pathway kinase"	Q8IXL6	"Evidence at protein level"
ENSG00000198690	FAN1	"FANCD2 and FANCI associated nuclease 1"	Q9Y2M0	"Evidence at protein level"
ENSG00000115392	FANCL	"Fanconi anemia complementation group L"	Q9NW38	"Evidence at protein level"
ENSG00000197601	FAR1	"Fatty acyl-CoA reductase 1"	Q8WVX9	"Evidence at protein level"
ENSG00000145982	FARS2	"Phenylalanyl-tRNA synthetase 2, mitochondrial"	O95363	"Evidence at protein level"
ENSG00000165140	FBP1	"Fructose-bisphosphatase 1"	P09467	"Evidence at protein level"
ENSG00000134452	FBXO18	"F-box protein, helicase, 18"	Q8NFZ0	"Evidence at protein level"
ENSG00000161513	FDXR	"Ferredoxin reductase"	P22570	"Evidence at protein level"
ENSG00000066926	FECH	Ferrochelatase	P22830	"Evidence at protein level"
ENSG00000182511	FES	"FES proto-oncogene, tyrosine kinase"	P07332	"Evidence at protein level"
ENSG00000118972	FGF23	"Fibroblast growth factor 23"	Q9GZV9	"Evidence at protein level"
ENSG00000000938	FGR	"FGR proto-oncogene, Src family tyrosine kinase"	P09769	"Evidence at protein level"
ENSG00000091483	FH	"Fumarate hydratase"	P07954	"Evidence at protein level"
ENSG00000189283	FHIT	"Fragile histidine triad"	P49789	"Evidence at protein level"
ENSG00000141756	FKBP10	"FK506 binding protein 10"	Q96AY3	"Evidence at protein level"
ENSG00000106080	FKBP14	"FK506 binding protein 14"	Q9NWM8	"Evidence at protein level"
ENSG00000160688	FLAD1	"Flavin adenine dinucleotide synthetase 1"	Q8NFF5	"Evidence at protein level"
ENSG00000196924	FLNA	"Filamin A"	P21333	"Evidence at protein level"
ENSG00000136068	FLNB	"Filamin B"	O75369	"Evidence at protein level"
ENSG00000128591	FLNC	"Filamin C"	Q14315	"Evidence at protein level"
ENSG00000162769	FLVCR1	"Feline leukemia virus subgroup C cellular receptor 1"	Q9Y5Y0	"Evidence at protein level"
ENSG00000119686	FLVCR2	"Feline leukemia virus subgroup C cellular receptor family member 2"	Q9UPI3	"Evidence at protein level"
ENSG00000007933	FMO3	"Flavin containing monooxygenase 3"	P31513	"Evidence at protein level"
ENSG00000110195	FOLR1	"Folate receptor 1"	P15328	"Evidence at protein level"
ENSG00000160282	FTCD	"Formimidoyltransferase cyclodeaminase"	O95954	"Evidence at protein level"
ENSG00000068438	FTSJ1	"FtsJ RNA methyltransferase homolog 1"	Q9UET6	"Evidence at protein level"
ENSG00000179163	FUCA1	"Alpha-L-fucosidase 1"	P04066	"Evidence at protein level"
ENSG00000165060	FXN	Frataxin	Q16595	"Evidence at protein level"
ENSG00000174804	FZD4	"Frizzled class receptor 4"	Q9ULV1	"Evidence at protein level"
ENSG00000164930	FZD6	"Frizzled class receptor 6"	O60353	"Evidence at protein level"
ENSG00000131482	G6PC	"Glucose-6-phosphatase catalytic subunit"	P35575	"Evidence at protein level"
ENSG00000141349	G6PC3	"Glucose-6-phosphatase catalytic subunit 3"	Q9BUM1	"Evidence at protein level"
ENSG00000160211	G6PD	"Glucose-6-phosphate dehydrogenase"	P11413	"Evidence at protein level"
ENSG00000128683	GAD1	"Glutamate decarboxylase 1"	Q99259	"Evidence at protein level"
ENSG00000054983	GALC	Galactosylceramidase	P54803	"Evidence at protein level"
ENSG00000117308	GALE	UDP-galactose-4-epimerase	Q14376	"Evidence at protein level"
ENSG00000108479	GALK1	"Galactokinase 1"	P51570	"Evidence at protein level"
ENSG00000141012	GALNS	"Galactosamine (N-acetyl)-6-sulfatase"	P34059	"Evidence at protein level"
ENSG00000178234	GALNT11	"Polypeptide N-acetylgalactosaminyltransferase 11"	Q8NCW6	"Evidence at protein level"
ENSG00000119514	GALNT12	"Polypeptide N-acetylgalactosaminyltransferase 12"	Q8IXK2	"Evidence at protein level"
ENSG00000185274	GALNT17	"Polypeptide N-acetylgalactosaminyltransferase 17"	Q6IS24	"Evidence at protein level"
ENSG00000115339	GALNT3	"Polypeptide N-acetylgalactosaminyltransferase 3"	Q14435	"Evidence at protein level"
ENSG00000213930	GALT	"Galactose-1-phosphate uridylyltransferase"	P07902	"Evidence at protein level"
ENSG00000106105	GARS	"Glycyl-tRNA synthetase"	P41250	"Evidence at protein level"
ENSG00000171766	GATM	"Glycine amidinotransferase"	P50440	"Evidence at protein level"
ENSG00000177628	GBA	"Glucosylceramidase beta"	P04062	"Evidence at protein level"
ENSG00000070610	GBA2	"Glucosylceramidase beta 2"	Q9HCG7	"Evidence at protein level"
ENSG00000114480	GBE1	"1,4-alpha-glucan branching enzyme 1"	Q04446	"Evidence at protein level"
ENSG00000105607	GCDH	"Glutaryl-CoA dehydrogenase"	Q92947	"Evidence at protein level"
ENSG00000131979	GCH1	"GTP cyclohydrolase 1"	P30793	"Evidence at protein level"
ENSG00000106633	GCK	Glucokinase	P35557	"Evidence at protein level"
ENSG00000001084	GCLC	"Glutamate-cysteine ligase catalytic subunit"	P48506	"Evidence at protein level"
ENSG00000111846	GCNT2	"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"	Q8N0V5	"Evidence at protein level"
ENSG00000127554	GFER	"Growth factor, augmenter of liver regeneration"	P55789	"Evidence at protein level"
ENSG00000198380	GFPT1	"Glutamine--fructose-6-phosphate transaminase 1"	Q06210	"Evidence at protein level"
ENSG00000100031	GGT1	"Gamma-glutamyltransferase 1"	P19440	"Evidence at protein level"
ENSG00000121853	GHSR	"Growth hormone secretagogue receptor"	Q92847	"Evidence at protein level"
ENSG00000121743	GJA3	"Gap junction protein alpha 3"	Q9Y6H8	"Evidence at protein level"
ENSG00000121634	GJA8	"Gap junction protein alpha 8"	P48165	"Evidence at protein level"
ENSG00000169562	GJB1	"Gap junction protein beta 1"	P08034	"Evidence at protein level"
ENSG00000165474	GJB2	"Gap junction protein beta 2"	P29033	"Evidence at protein level"
ENSG00000188910	GJB3	"Gap junction protein beta 3"	O75712	"Evidence at protein level"
ENSG00000198814	GK	"Glycerol kinase"	P32189	"Evidence at protein level"
ENSG00000102393	GLA	"Galactosidase alpha"	P06280	"Evidence at protein level"
ENSG00000170266	GLB1	"Galactosidase beta 1"	P16278	"Evidence at protein level"
ENSG00000178445	GLDC	"Glycine decarboxylase"	P23378	"Evidence at protein level"
ENSG00000119392	GLE1	"GLE1, RNA export mediator"	Q53GS7	"Evidence at protein level"
ENSG00000148672	GLUD1	"Glutamate dehydrogenase 1"	P00367	"Evidence at protein level"
ENSG00000135821	GLUL	"Glutamate-ammonia ligase"	P15104	"Evidence at protein level"
ENSG00000168237	GLYCTK	"Glycerate kinase"	Q8IVS8	"Evidence at protein level"
ENSG00000173540	GMPPB	"GDP-mannose pyrophosphorylase B"	Q9Y5P6	"Evidence at protein level"
ENSG00000163655	GMPS	"Guanine monophosphate synthase"	P49915	"Evidence at protein level"
ENSG00000087460	GNAS	"GNAS complex locus"	"O95467, P63092, P84996, Q5JWF2"	"Evidence at protein level"
ENSG00000078369	GNB1	"G protein subunit beta 1"	P62873	"Evidence at protein level"
ENSG00000159921	GNE	"Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"	Q9Y223	"Evidence at protein level"
ENSG00000124713	GNMT	"Glycine N-methyltransferase"	Q14749	"Evidence at protein level"
ENSG00000116906	GNPAT	"Glyceronephosphate O-acyltransferase"	O15228	"Evidence at protein level"
ENSG00000111670	GNPTAB	"N-acetylglucosamine-1-phosphate transferase alpha and beta subunits"	Q3T906	"Evidence at protein level"
ENSG00000135677	GNS	"Glucosamine (N-acetyl)-6-sulfatase"	P15586	"Evidence at protein level"
ENSG00000167588	GPD1	"Glycerol-3-phosphate dehydrogenase 1"	P21695	"Evidence at protein level"
ENSG00000152642	GPD1L	"Glycerol-3-phosphate dehydrogenase 1 like"	Q8N335	"Evidence at protein level"
ENSG00000171723	GPHN	Gephyrin	Q9NQX3	"Evidence at protein level"
ENSG00000105220	GPI	"Glucose-6-phosphate isomerase"	P06744	"Evidence at protein level"
ENSG00000165370	GPR101	"G protein-coupled receptor 101"	Q96P66	"Evidence at protein level"
ENSG00000101850	GPR143	"G protein-coupled receptor 143"	P51810	"Evidence at protein level"
ENSG00000119714	GPR68	"G protein-coupled receptor 68"	Q15743	"Evidence at protein level"
ENSG00000181656	GPR88	"G protein-coupled receptor 88"	Q9GZN0	"Evidence at transcript level"
ENSG00000166123	GPT2	"Glutamic--pyruvic transaminase 2"	Q8TD30	"Evidence at protein level"
ENSG00000167468	GPX4	"Glutathione peroxidase 4"	P36969	"Evidence at protein level"
ENSG00000116157	GPX7	"Glutathione peroxidase 7"	Q96SL4	"Evidence at protein level"
ENSG00000137106	GRHPR	"Glyoxylate and hydroxypyruvate reductase"	Q9UBQ7	"Evidence at protein level"
ENSG00000125675	GRIA3	"Glutamate ionotropic receptor AMPA type subunit 3"	P42263	"Evidence at protein level"
ENSG00000185974	GRK1	"G protein-coupled receptor kinase 1"	Q15835	"Evidence at protein level"
ENSG00000152822	GRM1	"Glutamate metabotropic receptor 1"	Q13255	"Evidence at protein level"
ENSG00000113262	GRM6	"Glutamate metabotropic receptor 6"	O15303	"Evidence at protein level"
ENSG00000105928	GSDME	"Gasdermin E"	O60443	"Evidence at protein level"
ENSG00000100577	GSTZ1	"Glutathione S-transferase zeta 1"	O43708	"Evidence at protein level"
ENSG00000164116	GUCY1A1	"Guanylate cyclase 1 soluble subunit alpha 1"	Q02108	"Evidence at protein level"
ENSG00000132518	GUCY2D	"Guanylate cyclase 2D, retinal"	Q02846	"Evidence at protein level"
ENSG00000169919	GUSB	"Glucuronidase beta"	P08236	"Evidence at protein level"
ENSG00000163754	GYG1	"Glycogenin 1"	P46976	"Evidence at protein level"
ENSG00000104812	GYS1	"Glycogen synthase 1"	P13807	"Evidence at protein level"
ENSG00000111713	GYS2	"Glycogen synthase 2"	P54840	"Evidence at protein level"
ENSG00000049239	H6PD	"Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"	O95479	"Evidence at protein level"
ENSG00000162882	HAAO	"3-hydroxyanthranilate 3,4-dioxygenase"	P46952	"Evidence at protein level"
ENSG00000148702	HABP2	"Hyaluronan binding protein 2"	Q14520	"Evidence at protein level"
ENSG00000165996	HACD1	"3-hydroxyacyl-CoA dehydratase 1"	B0YJ81	"Evidence at protein level"
ENSG00000085382	HACE1	"HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1"	Q8IYU2	"Evidence at protein level"
ENSG00000138796	HADH	"Hydroxyacyl-CoA dehydrogenase"	Q16836	"Evidence at protein level"
ENSG00000084754	HADHA	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha"	P40939	"Evidence at protein level"
ENSG00000138029	HADHB	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"	P55084	"Evidence at protein level"
ENSG00000084110	HAL	"Histidine ammonia-lyase"	P42357	"Evidence at protein level"
ENSG00000105697	HAMP	"Hepcidin antimicrobial peptide"	P81172	"Evidence at protein level"
ENSG00000170445	HARS	"Histidyl-tRNA synthetase"	P12081	"Evidence at protein level"
ENSG00000112855	HARS2	"Histidyl-tRNA synthetase 2, mitochondrial"	P49590	"Evidence at protein level"
ENSG00000170961	HAS2	"Hyaluronan synthase 2"	Q92819	"Evidence at protein level"
ENSG00000004961	HCCS	"Holocytochrome c synthase"	P53701	"Evidence at protein level"
ENSG00000101336	HCK	"HCK proto-oncogene, Src family tyrosine kinase"	P08631	"Evidence at protein level"
ENSG00000164588	HCN1	"Hyperpolarization activated cyclic nucleotide gated potassium channel 1"	O60741	"Evidence at protein level"
ENSG00000138622	HCN4	"Hyperpolarization activated cyclic nucleotide gated potassium channel 4"	Q9Y3Q4	"Evidence at protein level"
ENSG00000138411	HECW2	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"	Q9P2P5	"Evidence at protein level"
ENSG00000165478	HEPACAM	"Hepatic and glial cell adhesion molecule"	Q14CZ8	"Evidence at protein level"
ENSG00000103657	HERC1	"HECT and RLD domain containing E3 ubiquitin protein ligase family member 1"	Q15751	"Evidence at protein level"
ENSG00000128731	HERC2	"HECT and RLD domain containing E3 ubiquitin protein ligase 2"	O95714	"Evidence at protein level"
ENSG00000213614	HEXA	"Hexosaminidase subunit alpha"	P06865	"Evidence at protein level"
ENSG00000049860	HEXB	"Hexosaminidase subunit beta"	P07686	"Evidence at protein level"
ENSG00000162669	HFM1	"HFM1, ATP dependent DNA helicase homolog"	A2PYH4	"Evidence at protein level"
ENSG00000113924	HGD	"Homogentisate 1,2-dioxygenase"	Q93099	"Evidence at protein level"
ENSG00000019991	HGF	"Hepatocyte growth factor"	P14210	"Evidence at protein level"
ENSG00000165102	HGSNAT	"Heparan-alpha-glucosaminide N-acetyltransferase"	Q68CP4	"Evidence at protein level"
ENSG00000198130	HIBCH	"3-hydroxyisobutyryl-CoA hydrolase"	Q6NVY1	"Evidence at protein level"
ENSG00000156515	HK1	"Hexokinase 1"	P19367	"Evidence at protein level"
ENSG00000159267	HLCS	"Holocarboxylase synthetase"	P50747	"Evidence at protein level"
ENSG00000256269	HMBS	"Hydroxymethylbilane synthase"	P08397	"Evidence at protein level"
ENSG00000117305	HMGCL	"3-hydroxymethyl-3-methylglutaryl-CoA lyase"	P35914	"Evidence at protein level"
ENSG00000134240	HMGCS2	"3-hydroxy-3-methylglutaryl-CoA synthase 2"	P54868	"Evidence at protein level"
ENSG00000100292	HMOX1	"Heme oxygenase 1"	P09601	"Evidence at protein level"
ENSG00000150540	HNMT	"Histamine N-methyltransferase"	P50135	"Evidence at protein level"
ENSG00000241935	HOGA1	"4-hydroxy-2-oxoglutarate aldolase 1"	Q86XE5	"Evidence at protein level"
ENSG00000257017	HP	Haptoglobin	P00738	"Evidence at protein level"
ENSG00000164120	HPGD	"15-hydroxyprostaglandin dehydrogenase"	P15428	"Evidence at protein level"
ENSG00000117594	HSD11B1	"Hydroxysteroid 11-beta dehydrogenase 1"	P28845	"Evidence at protein level"
ENSG00000072506	HSD17B10	"Hydroxysteroid 17-beta dehydrogenase 10"	Q99714	"Evidence at protein level"
ENSG00000130948	HSD17B3	"Hydroxysteroid 17-beta dehydrogenase 3"	P37058	"Evidence at protein level"
ENSG00000133835	HSD17B4	"Hydroxysteroid 17-beta dehydrogenase 4"	P51659	"Evidence at protein level"
ENSG00000099377	HSD3B7	"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"	Q9H2F3	"Evidence at protein level"
ENSG00000044574	HSPA5	"Heat shock protein family A (Hsp70) member 5"	P11021	"Evidence at protein level"
ENSG00000144381	HSPD1	"Heat shock protein family D (Hsp60) member 1"	P10809	"Evidence at protein level"
ENSG00000166033	HTRA1	"HtrA serine peptidase 1"	Q92743	"Evidence at protein level"
ENSG00000115317	HTRA2	"HtrA serine peptidase 2"	O43464	"Evidence at protein level"
ENSG00000086758	HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	Q7Z6Z7	"Evidence at protein level"
ENSG00000114378	HYAL1	"Hyaluronoglucosaminidase 1"	Q12794	"Evidence at protein level"
ENSG00000196305	IARS	"Isoleucyl-tRNA synthetase"	P41252	"Evidence at protein level"
ENSG00000067704	IARS2	"Isoleucyl-tRNA synthetase 2, mitochondrial"	Q9NSE4	"Evidence at protein level"
ENSG00000112144	ICK	"Intestinal cell kinase"	Q9UPZ9	"Evidence at protein level"
ENSG00000138413	IDH1	"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic"	O75874	"Evidence at protein level"
ENSG00000010404	IDS	"Iduronate 2-sulfatase"	P22304	"Evidence at protein level"
